ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60655,Median Home Price,,3,292235.5263,0.70544795,24,Median Home Price in Dollars
60656,Median Home Price,,3,360476.3158,0.618140536,33,Median Home Price in Dollars
60657,Median Home Price,,3,551678.9474,0.373515473,43,Median Home Price in Dollars
60659,Median Home Price,,3,302421.0526,0.692416566,26,Median Home Price in Dollars
60660,Median Home Price,,3,285713.1579,0.713792683,23,Median Home Price in Dollars
60707,Median Home Price,,3,331883.6184,0.654722095,29,Median Home Price in Dollars
60827,Median Home Price,,3,69154.52632,0.990858267,3,Median Home Price in Dollars
6761,Median Home Price,,4,516711.8421,0.448065878,42,Median Home Price in Dollars
12311,Median Home Price,,4,665298.9474,0.266379122,47,Median Home Price in Dollars
60608,Median Home Price,,4,362657.8947,0.636437283,31,Median Home Price in Dollars
60609,Median Home Price,,4,294771.0526,0.719446775,22,Median Home Price in Dollars
60610,Median Home Price,,4,666753.9474,0.264600003,48,Median Home Price in Dollars
60612,Median Home Price,,4,407344.8947,0.581795691,36,Median Home Price in Dollars
60613,Median Home Price,,4,381510.5263,0.61338499,34,Median Home Price in Dollars
60614,Median Home Price,,4,883149.1842,0,51,Median Home Price in Dollars
60615,Median Home Price,,4,281524.5921,0.735644051,19,Median Home Price in Dollars
60616,Median Home Price,,4,346660.5263,0.655998267,29,Median Home Price in Dollars
60617,Median Home Price,,4,156867.1053,0.888070564,9,Median Home Price in Dollars
60618,Median Home Price,,4,614956.5789,0.327935888,44,Median Home Price in Dollars
60619,Median Home Price,,4,148656.5789,0.898110088,7,Median Home Price in Dollars
60620,Median Home Price,,4,158534.2105,0.88603209,10,Median Home Price in Dollars
60621,Median Home Price,,4,66339.47368,0.998764366,2,Median Home Price in Dollars
60622,Median Home Price,,4,694497.3684,0.230676385,50,Median Home Price in Dollars
60623,Median Home Price,,4,149903.9474,0.896584853,8,Median Home Price in Dollars
60624,Median Home Price,,4,188090.7895,0.849891411,11,Median Home Price in Dollars
60625,Median Home Price,,4,406048.6842,0.583380648,35,Median Home Price in Dollars
60626,Median Home Price,,4,230986.8421,0.797439722,13,Median Home Price in Dollars
60628,Median Home Price,,4,90659.71053,0.96902649,4,Median Home Price in Dollars
60629,Median Home Price,,4,251989.7237,0.771758184,16,Median Home Price in Dollars
60630,Median Home Price,,4,439832.8947,0.542070579,40,Median Home Price in Dollars
60631,Median Home Price,,4,427154.2105,0.5575736,39,Median Home Price in Dollars
60632,Median Home Price,,4,276296.0526,0.742037314,18,Median Home Price in Dollars
60633,Median Home Price,,4,146668.4211,0.900541134,6,Median Home Price in Dollars
60634,Median Home Price,,4,374244.7368,0.622269326,32,Median Home Price in Dollars
60636,Median Home Price,,4,65328.94737,1,1,Median Home Price in Dollars
60637,Median Home Price,,4,239573.6842,0.786940052,15,Median Home Price in Dollars
60638,Median Home Price,,4,311658.8947,0.698796953,25,Median Home Price in Dollars
60639,Median Home Price,,4,344861.8421,0.658197631,28,Median Home Price in Dollars
60640,Median Home Price,,4,325921.0526,0.68135772,27,Median Home Price in Dollars
60641,Median Home Price,,4,408764.4737,0.580059883,37,Median Home Price in Dollars
60642,Median Home Price,,4,670371.0526,0.260177142,49,Median Home Price in Dollars
60643,Median Home Price,,4,276082.8947,0.742297955,17,Median Home Price in Dollars
60644,Median Home Price,,4,195986.8421,0.840236413,12,Median Home Price in Dollars
60645,Median Home Price,,4,290980.2632,0.72408201,20,Median Home Price in Dollars
60646,Median Home Price,,4,496734.2105,0.472493778,41,Median Home Price in Dollars
60647,Median Home Price,,4,628260.5263,0.311668318,45,Median Home Price in Dollars
60649,Median Home Price,,4,141148.6842,0.907290461,5,Median Home Price in Dollars
60651,Median Home Price,,4,293982.8947,0.720410505,21,Median Home Price in Dollars
60652,Median Home Price,,4,233132.8947,0.794815609,14,Median Home Price in Dollars
60653,Median Home Price,,4,414294.7368,0.573297684,38,Median Home Price in Dollars
60654,Median Home Price,,4,635923.6842,0.302298095,46,Median Home Price in Dollars
60655,Median Home Price,,4,302147.3684,0.710427291,24,Median Home Price in Dollars
60656,Median Home Price,,4,380718.4211,0.614353547,33,Median Home Price in Dollars
60657,Median Home Price,,4,573292.7632,0.378880843,43,Median Home Price in Dollars
60659,Median Home Price,,4,322394.7368,0.685669567,26,Median Home Price in Dollars
60660,Median Home Price,,4,300784.2105,0.71209411,23,Median Home Price in Dollars
60707,Median Home Price,,4,351028.1579,0.65065769,30,Median Home Price in Dollars
60827,Median Home Price,,4,71447.86842,0.992518012,3,Median Home Price in Dollars
6761,Median Home Price,,5,534821.0526,0.454146965,42,Median Home Price in Dollars
12311,Median Home Price,,5,670403.6842,0.295389827,47,Median Home Price in Dollars
60608,Median Home Price,,5,378447.3684,0.637248873,31,Median Home Price in Dollars
60609,Median Home Price,,5,308776.3158,0.718828473,21,Median Home Price in Dollars
60610,Median Home Price,,5,692573.6842,0.269430412,48,Median Home Price in Dollars
60612,Median Home Price,,5,434668.6184,0.571417987,37,Median Home Price in Dollars
60613,Median Home Price,,5,391813.1579,0.621598531,32,Median Home Price in Dollars
60614,Median Home Price,,5,922674.1053,0,51,Median Home Price in Dollars
60615,Median Home Price,,5,293449.5526,0.736774968,19,Median Home Price in Dollars
60616,Median Home Price,,5,346950.6579,0.674129169,28,Median Home Price in Dollars
60617,Median Home Price,,5,163652.6316,0.888757471,9,Median Home Price in Dollars
60618,Median Home Price,,5,645564.4737,0.324474687,44,Median Home Price in Dollars
60619,Median Home Price,,5,154814.4737,0.899106294,7,Median Home Price in Dollars
60620,Median Home Price,,5,165655.2632,0.886412539,10,Median Home Price in Dollars
60621,Median Home Price,,5,70436.84211,0.997906201,2,Median Home Price in Dollars
60622,Median Home Price,,5,728484.2105,0.227381867,50,Median Home Price in Dollars
60623,Median Home Price,,5,158698.6842,0.894558174,8,Median Home Price in Dollars
60624,Median Home Price,,5,200244.7368,0.845910848,11,Median Home Price in Dollars
60625,Median Home Price,,5,425742.1053,0.581870267,35,Median Home Price in Dollars
60626,Median Home Price,,5,242596.0526,0.79632062,13,Median Home Price in Dollars
60628,Median Home Price,,5,93312.26316,0.971120791,4,Median Home Price in Dollars
60629,Median Home Price,,5,264990.3421,0.770098579,16,Median Home Price in Dollars
60630,Median Home Price,,5,463047.3684,0.53818859,40,Median Home Price in Dollars
60631,Median Home Price,,5,443455.2632,0.561129482,39,Median Home Price in Dollars
60632,Median Home Price,,5,291426.3158,0.739144028,18,Median Home Price in Dollars
60633,Median Home Price,,5,150260.5263,0.904438627,6,Median Home Price in Dollars
60634,Median Home Price,,5,392868.4211,0.620362897,33,Median Home Price in Dollars
60636,Median Home Price,,5,68648.68421,1,1,Median Home Price in Dollars
60637,Median Home Price,,5,252592.1053,0.784615989,15,Median Home Price in Dollars
60638,Median Home Price,,5,327061.3684,0.697418042,25,Median Home Price in Dollars
60639,Median Home Price,,5,366146.0526,0.651652795,29,Median Home Price in Dollars
60640,Median Home Price,,5,336176.3158,0.686745119,26,Median Home Price in Dollars
60641,Median Home Price,,5,431386.8421,0.575260702,36,Median Home Price in Dollars
60642,Median Home Price,,5,702451.3158,0.257864443,49,Median Home Price in Dollars
60643,Median Home Price,,5,289847.3684,0.740992857,17,Median Home Price in Dollars
60644,Median Home Price,,5,208721.0526,0.835985715,12,Median Home Price in Dollars
60645,Median Home Price,,5,307531.5789,0.720285967,20,Median Home Price in Dollars
60646,Median Home Price,,5,507155.2632,0.486541538,41,Median Home Price in Dollars
60647,Median Home Price,,5,660313.1579,0.307205079,45,Median Home Price in Dollars
60649,Median Home Price,,5,147567.1053,0.907592422,5,Median Home Price in Dollars
60651,Median Home Price,,5,313747.3684,0.713007742,23,Median Home Price in Dollars
60652,Median Home Price,,5,243597.3684,0.795148154,14,Median Home Price in Dollars
60653,Median Home Price,,5,441318.4211,0.563631565,38,Median Home Price in Dollars
60654,Median Home Price,,5,663642.1053,0.303307131,46,Median Home Price in Dollars
60655,Median Home Price,,5,312059.2105,0.714984449,22,Median Home Price in Dollars
60656,Median Home Price,,5,400960.5263,0.610887646,34,Median Home Price in Dollars
60657,Median Home Price,,5,594906.5789,0.3837913,43,Median Home Price in Dollars
60659,Median Home Price,,5,342368.4211,0.679494626,27,Median Home Price in Dollars
60660,Median Home Price,,5,315855.2632,0.710539554,24,Median Home Price in Dollars
60707,Median Home Price,,5,370172.6974,0.646937895,30,Median Home Price in Dollars
60827,Median Home Price,,5,73741.21053,0.994037032,3,Median Home Price in Dollars
12311,Everyday Shopping,,0,99,1,1,Count of newly issued and renewed licenses for everyday shopping businesses
60608,Everyday Shopping,,0,11,0.598716477,21,Count of newly issued and renewed licenses for everyday shopping businesses
60609,Everyday Shopping,,0,5,0.467769102,37,Count of newly issued and renewed licenses for everyday shopping businesses
60610,Everyday Shopping,,0,6,0.742204273,8,Count of newly issued and renewed licenses for everyday shopping businesses
60612,Everyday Shopping,,0,30,0.801562679,6,Count of newly issued and renewed licenses for everyday shopping businesses
60613,Everyday Shopping,,0,7,0.68076243,13,Count of newly issued and renewed licenses for everyday shopping businesses
60614,Everyday Shopping,,0,16,0.740604527,9,Count of newly issued and renewed licenses for everyday shopping businesses
60615,Everyday Shopping,,0,2,0.512559437,31,Count of newly issued and renewed licenses for everyday shopping businesses
60616,Everyday Shopping,,0,13,0.680570551,14,Count of newly issued and renewed licenses for everyday shopping businesses
60617,Everyday Shopping,,0,7,0.43542072,40,Count of newly issued and renewed licenses for everyday shopping businesses
60618,Everyday Shopping,,0,11,0.62881726,20,Count of newly issued and renewed licenses for everyday shopping businesses
60619,Everyday Shopping,,0,23,0.703525455,12,Count of newly issued and renewed licenses for everyday shopping businesses
60620,Everyday Shopping,,0,6,0.503908224,32,Count of newly issued and renewed licenses for everyday shopping businesses
60621,Everyday Shopping,,0,6,0.58897819,25,Count of newly issued and renewed licenses for everyday shopping businesses
60622,Everyday Shopping,,0,23,0.822487052,5,Count of newly issued and renewed licenses for everyday shopping businesses
60623,Everyday Shopping,,0,28,0.745091357,7,Count of newly issued and renewed licenses for everyday shopping businesses
60624,Everyday Shopping,,0,6,0.596056309,23,Count of newly issued and renewed licenses for everyday shopping businesses
60625,Everyday Shopping,,0,5,0.558985666,28,Count of newly issued and renewed licenses for everyday shopping businesses
60626,Everyday Shopping,,0,20,0.852161119,3,Count of newly issued and renewed licenses for everyday shopping businesses
60628,Everyday Shopping,,0,3,0.354813753,44,Count of newly issued and renewed licenses for everyday shopping businesses
60629,Everyday Shopping,,0,7,0.529593127,30,Count of newly issued and renewed licenses for everyday shopping businesses
60630,Everyday Shopping,,0,4,0.502532059,33,Count of newly issued and renewed licenses for everyday shopping businesses
60631,Everyday Shopping,,0,1,0.351921452,46,Count of newly issued and renewed licenses for everyday shopping businesses
60632,Everyday Shopping,,0,12,0.589530016,24,Count of newly issued and renewed licenses for everyday shopping businesses
60633,Everyday Shopping,,0,1,0.217372072,48,Count of newly issued and renewed licenses for everyday shopping businesses
60634,Everyday Shopping,,0,5,0.47926865,36,Count of newly issued and renewed licenses for everyday shopping businesses
60636,Everyday Shopping,,0,1,0.345254256,47,Count of newly issued and renewed licenses for everyday shopping businesses
60637,Everyday Shopping,,0,2,0.418385692,41,Count of newly issued and renewed licenses for everyday shopping businesses
60638,Everyday Shopping,,0,6,0.44445362,39,Count of newly issued and renewed licenses for everyday shopping businesses
60639,Everyday Shopping,,0,13,0.655855346,16,Count of newly issued and renewed licenses for everyday shopping businesses
60640,Everyday Shopping,,0,2,0.50142665,34,Count of newly issued and renewed licenses for everyday shopping businesses
60641,Everyday Shopping,,0,9,0.632017214,19,Count of newly issued and renewed licenses for everyday shopping businesses
60642,Everyday Shopping,,0,4,0.639171984,18,Count of newly issued and renewed licenses for everyday shopping businesses
60643,Everyday Shopping,,0,2,0.353605954,45,Count of newly issued and renewed licenses for everyday shopping businesses
60644,Everyday Shopping,,0,4,0.543506179,29,Count of newly issued and renewed licenses for everyday shopping businesses
60646,Everyday Shopping,,0,2,0.416429871,42,Count of newly issued and renewed licenses for everyday shopping businesses
60647,Everyday Shopping,,0,12,0.669966289,15,Count of newly issued and renewed licenses for everyday shopping businesses
60649,Everyday Shopping,,0,5,0.5967703,22,Count of newly issued and renewed licenses for everyday shopping businesses
60651,Everyday Shopping,,0,2,0.451979086,38,Count of newly issued and renewed licenses for everyday shopping businesses
60652,Everyday Shopping,,0,4,0.495954616,35,Count of newly issued and renewed licenses for everyday shopping businesses
60653,Everyday Shopping,,0,3,0.559280626,27,Count of newly issued and renewed licenses for everyday shopping businesses
