ZipCode,Category,Destination,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60629,Distance To Work,60609,,2.925,0.811192874,7,Distance between two zipcodes in miles
60630,Distance To Work,60609,,12.187,0.213335915,44,Distance between two zipcodes in miles
60631,Distance To Work,60609,,15.492,0,51,Distance between two zipcodes in miles
60632,Distance To Work,60609,,1.696,0.890524141,2,Distance between two zipcodes in miles
60633,Distance To Work,60609,,10.958,0.292667183,39,Distance between two zipcodes in miles
60634,Distance To Work,60609,,12.378,0.201006971,45,Distance between two zipcodes in miles
60636,Distance To Work,60609,,2.134,0.862251485,3,Distance between two zipcodes in miles
60637,Distance To Work,60609,,3.727,0.759424219,11,Distance between two zipcodes in miles
60638,Distance To Work,60609,,6.047,0.609669507,21,Distance between two zipcodes in miles
60639,Distance To Work,60609,,9.179,0.407500645,34,Distance between two zipcodes in miles
60640,Distance To Work,60609,,11.043,0.28718048,40,Distance between two zipcodes in miles
60641,Distance To Work,60609,,10.72,0.308029951,37,Distance between two zipcodes in miles
60642,Distance To Work,60609,,6.211,0.599083398,22,Distance between two zipcodes in miles
60643,Distance To Work,60609,,7.592,0.509940615,27,Distance between two zipcodes in miles
60644,Distance To Work,60609,,7.069,0.543699974,25,Distance between two zipcodes in miles
60645,Distance To Work,60609,,13.89,0.103408211,49,Distance between two zipcodes in miles
60646,Distance To Work,60609,,14.09,0.090498322,50,Distance between two zipcodes in miles
60647,Distance To Work,60609,,7.867,0.492189517,29,Distance between two zipcodes in miles
60649,Distance To Work,60609,,5.856,0.621998451,20,Distance between two zipcodes in miles
60651,Distance To Work,60609,,7.458,0.51859024,26,Distance between two zipcodes in miles
60652,Distance To Work,60609,,4.88,0.684998709,13,Distance between two zipcodes in miles
60653,Distance To Work,60609,,2.672,0.827523883,5,Distance between two zipcodes in miles
60654,Distance To Work,60609,,5.617,0.637425768,18,Distance between two zipcodes in miles
60655,Distance To Work,60609,,8.019,0.482378002,31,Distance between two zipcodes in miles
60656,Distance To Work,60609,,13.785,0.110185902,47,Distance between two zipcodes in miles
60657,Distance To Work,60609,,8.972,0.420862381,33,Distance between two zipcodes in miles
60659,Distance To Work,60609,,12.593,0.187128841,46,Distance between two zipcodes in miles
60660,Distance To Work,60609,,11.733,0.242641363,43,Distance between two zipcodes in miles
60707,Distance To Work,60609,,10.841,0.300219468,38,Distance between two zipcodes in miles
60827,Distance To Work,60609,,11.151,0.28020914,41,Distance between two zipcodes in miles
6761,Distance To Work,60610,,1.38,0.920050982,4,Distance between two zipcodes in miles
12311,Distance To Work,60610,,1.723,0.900179596,6,Distance between two zipcodes in miles
60608,Distance To Work,60610,,4.021,0.7670471,12,Distance between two zipcodes in miles
60609,Distance To Work,60610,,6.297,0.635189155,23,Distance between two zipcodes in miles
60610,Distance To Work,60610,,0,1,1,Distance between two zipcodes in miles
60612,Distance To Work,60610,,2.925,0.830542842,8,Distance between two zipcodes in miles
60613,Distance To Work,60610,,3.489,0.797868026,11,Distance between two zipcodes in miles
60614,Distance To Work,60610,,1.473,0.914663113,5,Distance between two zipcodes in miles
60615,Distance To Work,60610,,6.545,0.620821505,26,Distance between two zipcodes in miles
60616,Distance To Work,60610,,4.268,0.752737385,13,Distance between two zipcodes in miles
60617,Distance To Work,60610,,12.619,0.268929958,46,Distance between two zipcodes in miles
60618,Distance To Work,60610,,4.634,0.731533515,15,Distance between two zipcodes in miles
60619,Distance To Work,60610,,11.151,0.353977174,44,Distance between two zipcodes in miles
60620,Distance To Work,60610,,11.091,0.357453218,43,Distance between two zipcodes in miles
60621,Distance To Work,60610,,8.282,0.520190024,32,Distance between two zipcodes in miles
60622,Distance To Work,60610,,2.578,0.850645965,7,Distance between two zipcodes in miles
60623,Distance To Work,60610,,5.846,0.661317421,21,Distance between two zipcodes in miles
60624,Distance To Work,60610,,4.35,0.747986791,14,Distance between two zipcodes in miles
60625,Distance To Work,60610,,5.736,0.667690169,20,Distance between two zipcodes in miles
60626,Distance To Work,60610,,7.748,0.551126818,29,Distance between two zipcodes in miles
60628,Distance To Work,60610,,14.53,0.158217948,49,Distance between two zipcodes in miles
60629,Distance To Work,60610,,8.842,0.487746944,35,Distance between two zipcodes in miles
60630,Distance To Work,60610,,7.847,0.545391345,30,Distance between two zipcodes in miles
60631,Distance To Work,60610,,11.56,0.330282139,45,Distance between two zipcodes in miles
60632,Distance To Work,60610,,6.094,0.646949771,22,Distance between two zipcodes in miles
60633,Distance To Work,60610,,16.403,0.049707433,50,Distance between two zipcodes in miles
60634,Distance To Work,60610,,9.417,0.454434853,38,Distance between two zipcodes in miles
60636,Distance To Work,60610,,8.425,0.511905452,33,Distance between two zipcodes in miles
60637,Distance To Work,60610,,8.535,0.505532704,34,Distance between two zipcodes in miles
60638,Distance To Work,60610,,10.659,0.382480737,41,Distance between two zipcodes in miles
60639,Distance To Work,60610,,6.339,0.632755924,24,Distance between two zipcodes in miles
60640,Distance To Work,60610,,4.94,0.713805689,16,Distance between two zipcodes in miles
60641,Distance To Work,60610,,6.637,0.615491571,27,Distance between two zipcodes in miles
60642,Distance To Work,60610,,1.031,0.940269973,3,Distance between two zipcodes in miles
60643,Distance To Work,60610,,13.842,0.198076589,47,Distance between two zipcodes in miles
60644,Distance To Work,60610,,6.34,0.63269799,25,Distance between two zipcodes in miles
60645,Distance To Work,60610,,8.017,0.535542553,31,Distance between two zipcodes in miles
60646,Distance To Work,60610,,9.266,0.463182898,37,Distance between two zipcodes in miles
60647,Distance To Work,60610,,3.387,0.803777301,10,Distance between two zipcodes in miles
60649,Distance To Work,60610,,9.877,0.42778518,39,Distance between two zipcodes in miles
60651,Distance To Work,60610,,5.156,0.70129193,17,Distance between two zipcodes in miles
60652,Distance To Work,60610,,10.965,0.364752911,42,Distance between two zipcodes in miles
60653,Distance To Work,60610,,5.734,0.667806037,19,Distance between two zipcodes in miles
60654,Distance To Work,60610,,0.69,0.960025491,2,Distance between two zipcodes in miles
60655,Distance To Work,60610,,14.269,0.173338741,48,Distance between two zipcodes in miles
60656,Distance To Work,60610,,10.459,0.394067551,40,Distance between two zipcodes in miles
60657,Distance To Work,60610,,2.947,0.829268293,9,Distance between two zipcodes in miles
60659,Distance To Work,60610,,6.938,0.598053415,28,Distance between two zipcodes in miles
60660,Distance To Work,60610,,5.617,0.674584323,18,Distance between two zipcodes in miles
60707,Distance To Work,60610,,8.872,0.486008922,36,Distance between two zipcodes in miles
60827,Distance To Work,60610,,17.261,0,51,Distance between two zipcodes in miles
6761,Distance To Work,60612,,2.579,0.840536697,6,Distance between two zipcodes in miles
12311,Distance To Work,60612,,3.61,0.776788475,13,Distance between two zipcodes in miles
60608,Distance To Work,60612,,2.134,0.868051691,5,Distance between two zipcodes in miles
60609,Distance To Work,60612,,5.073,0.686329067,20,Distance between two zipcodes in miles
60610,Distance To Work,60612,,2.925,0.819143016,9,Distance between two zipcodes in miles
60612,Distance To Work,60612,,0,1,1,Distance between two zipcodes in miles
60613,Distance To Work,60612,,5.253,0.675199406,21,Distance between two zipcodes in miles
60614,Distance To Work,60612,,3.446,0.786928832,12,Distance between two zipcodes in miles
60615,Distance To Work,60612,,6.702,0.585605639,26,Distance between two zipcodes in miles
60616,Distance To Work,60612,,4.546,0.71891424,18,Distance between two zipcodes in miles
60617,Distance To Work,60612,,12.627,0.219254313,48,Distance between two zipcodes in miles
60618,Distance To Work,60612,,4.859,0.699560997,19,Distance between two zipcodes in miles
60619,Distance To Work,60612,,10.508,0.35027515,44,Distance between two zipcodes in miles
60620,Distance To Work,60612,,9.786,0.394917455,42,Distance between two zipcodes in miles
60621,Distance To Work,60612,,7.368,0.544425895,32,Distance between two zipcodes in miles
60622,Distance To Work,60612,,1.38,0.914672602,2,Distance between two zipcodes in miles
60623,Distance To Work,60612,,3.165,0.804303469,11,Distance between two zipcodes in miles
60624,Distance To Work,60612,,1.547,0.904346751,3,Distance between two zipcodes in miles
60625,Distance To Work,60612,,6.233,0.614604588,24,Distance between two zipcodes in miles
60626,Distance To Work,60612,,9.031,0.441600198,38,Distance between two zipcodes in miles
60628,Distance To Work,60612,,13.602,0.158968651,49,Distance between two zipcodes in miles
60629,Distance To Work,60612,,6.921,0.572064552,28,Distance between two zipcodes in miles
60630,Distance To Work,60612,,7.183,0.555864713,31,Distance between two zipcodes in miles
60631,Distance To Work,60612,,10.652,0.341371422,45,Distance between two zipcodes in miles
60632,Distance To Work,60612,,4.141,0.743955976,15,Distance between two zipcodes in miles
60633,Distance To Work,60612,,15.974,0.012304458,50,Distance between two zipcodes in miles
60634,Distance To Work,60612,,7.849,0.514684969,34,Distance between two zipcodes in miles
60636,Distance To Work,60612,,6.978,0.56854016,29,Distance between two zipcodes in miles
60637,Distance To Work,60612,,8.319,0.485624188,36,Distance between two zipcodes in miles
60638,Distance To Work,60612,,8.043,0.502689668,35,Distance between two zipcodes in miles
60639,Distance To Work,60612,,4.544,0.719037903,17,Distance between two zipcodes in miles
60640,Distance To Work,60612,,6.401,0.604216905,25,Distance between two zipcodes in miles
60641,Distance To Work,60612,,5.736,0.645334817,22,Distance between two zipcodes in miles
60642,Distance To Work,60612,,2.073,0.871823409,4,Distance between two zipcodes in miles
60643,Distance To Work,60612,,12.519,0.225932109,47,Distance between two zipcodes in miles
60644,Distance To Work,60612,,3.61,0.776788475,13,Distance between two zipcodes in miles
60645,Distance To Work,60612,,8.972,0.445248253,37,Distance between two zipcodes in miles
60646,Distance To Work,60612,,9.033,0.441476535,40,Distance between two zipcodes in miles
60647,Distance To Work,60612,,2.808,0.826377295,8,Distance between two zipcodes in miles
60649,Distance To Work,60612,,10.133,0.373461943,43,Distance between two zipcodes in miles
60651,Distance To Work,60612,,2.925,0.819143016,9,Distance between two zipcodes in miles
60652,Distance To Work,60612,,9.031,0.441600198,38,Distance between two zipcodes in miles
60653,Distance To Work,60612,,5.847,0.638471527,23,Distance between two zipcodes in miles
60654,Distance To Work,60612,,2.669,0.834971867,7,Distance between two zipcodes in miles
60655,Distance To Work,60612,,12.466,0.229209176,46,Distance between two zipcodes in miles
60656,Distance To Work,60612,,9.137,0.435046064,41,Distance between two zipcodes in miles
60657,Distance To Work,60612,,4.42,0.726705002,16,Distance between two zipcodes in miles
60659,Distance To Work,60612,,7.609,0.529524516,33,Distance between two zipcodes in miles
60660,Distance To Work,60612,,7.073,0.562666172,30,Distance between two zipcodes in miles
60707,Distance To Work,60612,,6.775,0.581091943,27,Distance between two zipcodes in miles
60827,Distance To Work,60612,,16.173,0,51,Distance between two zipcodes in miles
6761,Distance To Work,60613,,4.859,0.765605403,16,Distance between two zipcodes in miles
12311,Distance To Work,60613,,5.073,0.7552822,17,Distance between two zipcodes in miles
60608,Distance To Work,60613,,7.073,0.658803666,25,Distance between two zipcodes in miles
60609,Distance To Work,60613,,9.676,0.533236855,35,Distance between two zipcodes in miles
60610,Distance To Work,60613,,3.489,0.831693198,9,Distance between two zipcodes in miles
60612,Distance To Work,60613,,5.253,0.746599132,19,Distance between two zipcodes in miles
60613,Distance To Work,60613,,0,1,1,Distance between two zipcodes in miles
60614,Distance To Work,60613,,2.071,0.900096479,4,Distance between two zipcodes in miles
60615,Distance To Work,60613,,10.001,0.517559093,36,Distance between two zipcodes in miles
60616,Distance To Work,60613,,7.748,0.626242161,27,Distance between two zipcodes in miles
60617,Distance To Work,60613,,16.037,0.226386879,46,Distance between two zipcodes in miles
60618,Distance To Work,60613,,2.576,0.875735649,6,Distance between two zipcodes in miles
60619,Distance To Work,60613,,14.64,0.293777135,45,Distance between two zipcodes in miles
60620,Distance To Work,60613,,14.503,0.300385914,44,Distance between two zipcodes in miles
60621,Distance To Work,60613,,11.744,0.433478051,37,Distance between two zipcodes in miles
60622,Distance To Work,60613,,4.02,0.806078148,12,Distance between two zipcodes in miles
60623,Distance To Work,60613,,8.406,0.594500724,29,Distance between two zipcodes in miles
60624,Distance To Work,60613,,6.03,0.709117221,22,Distance between two zipcodes in miles
60625,Distance To Work,60613,,2.922,0.859044863,7,Distance between two zipcodes in miles
60626,Distance To Work,60613,,4.267,0.794163049,14,Distance between two zipcodes in miles
60628,Distance To Work,60613,,18.011,0.131162566,49,Distance between two zipcodes in miles
60629,Distance To Work,60613,,12.013,0.420501688,39,Distance between two zipcodes in miles
60630,Distance To Work,60613,,5.832,0.718668596,21,Distance between two zipcodes in miles
60631,Distance To Work,60613,,9.411,0.54602026,34,Distance between two zipcodes in miles
60632,Distance To Work,60613,,9.206,0.55590931,32,Distance between two zipcodes in miles
60633,Distance To Work,60613,,19.875,0.041244573,50,Distance between two zipcodes in miles
60634,Distance To Work,60613,,8.243,0.602363724,28,Distance between two zipcodes in miles
60636,Distance To Work,60613,,11.778,0.431837916,38,Distance between two zipcodes in miles
60637,Distance To Work,60613,,12.013,0.420501688,39,Distance between two zipcodes in miles
60638,Distance To Work,60613,,13.266,0.360057887,42,Distance between two zipcodes in miles
60639,Distance To Work,60613,,6.035,0.708876025,23,Distance between two zipcodes in miles
60640,Distance To Work,60613,,1.473,0.92894356,3,Distance between two zipcodes in miles
60641,Distance To Work,60613,,5.152,0.751471298,18,Distance between two zipcodes in miles
60642,Distance To Work,60613,,3.489,0.831693198,9,Distance between two zipcodes in miles
60643,Distance To Work,60613,,17.262,0.167293777,47,Distance between two zipcodes in miles
60644,Distance To Work,60613,,7.449,0.640665702,26,Distance between two zipcodes in miles
60645,Distance To Work,60613,,4.625,0.776893391,15,Distance between two zipcodes in miles
60646,Distance To Work,60613,,6.633,0.680028944,24,Distance between two zipcodes in miles
60647,Distance To Work,60613,,3.305,0.840569223,8,Distance between two zipcodes in miles
60649,Distance To Work,60613,,13.262,0.360250844,41,Distance between two zipcodes in miles
60651,Distance To Work,60613,,5.782,0.72108056,20,Distance between two zipcodes in miles
