ZipCode,Category,YearsAhead,AbsoluteValue,NormalizedValue,Rank,Metric
60644,Park,5,12,0.5,24,Count of parks
60645,Park,5,8,0.666666667,33,Count of parks
60646,Park,5,11,0.541666667,26,Count of parks
60647,Park,5,19,0.208333333,6,Count of parks
60649,Park,5,8,0.666666667,33,Count of parks
60651,Park,5,10,0.583333333,29,Count of parks
60652,Park,5,7,0.708333333,39,Count of parks
60653,Park,5,17,0.291666667,8,Count of parks
60654,Park,5,1,0.958333333,48,Count of parks
60655,Park,5,5,0.791666667,44,Count of parks
60656,Park,5,3,0.875,46,Count of parks
60657,Park,5,10,0.583333333,29,Count of parks
60659,Park,5,6,0.75,42,Count of parks
60660,Park,5,8,0.666666667,33,Count of parks
60707,Park,5,0,1,49,Count of parks
60827,Park,5,0,1,49,Count of parks
6761,Playground,0,5,0.736842105,36,Count of playgrounds
12311,Playground,0,6,0.684210526,29,Count of playgrounds
60608,Playground,0,13,0.315789474,4,Count of playgrounds
60609,Playground,0,19,0,1,Count of playgrounds
60610,Playground,0,4,0.789473684,40,Count of playgrounds
60612,Playground,0,7,0.631578947,24,Count of playgrounds
60613,Playground,0,2,0.894736842,46,Count of playgrounds
60614,Playground,0,17,0.105263158,2,Count of playgrounds
60615,Playground,0,10,0.473684211,11,Count of playgrounds
60616,Playground,0,15,0.210526316,3,Count of playgrounds
60617,Playground,0,13,0.315789474,4,Count of playgrounds
60618,Playground,0,10,0.473684211,11,Count of playgrounds
60619,Playground,0,10,0.473684211,11,Count of playgrounds
60620,Playground,0,11,0.421052632,9,Count of playgrounds
60621,Playground,0,7,0.631578947,24,Count of playgrounds
60622,Playground,0,9,0.526315789,16,Count of playgrounds
60623,Playground,0,9,0.526315789,16,Count of playgrounds
60624,Playground,0,13,0.315789474,4,Count of playgrounds
60625,Playground,0,9,0.526315789,16,Count of playgrounds
60626,Playground,0,10,0.473684211,11,Count of playgrounds
60628,Playground,0,9,0.526315789,16,Count of playgrounds
60629,Playground,0,6,0.684210526,29,Count of playgrounds
60630,Playground,0,9,0.526315789,16,Count of playgrounds
60631,Playground,0,6,0.684210526,29,Count of playgrounds
60632,Playground,0,6,0.684210526,29,Count of playgrounds
60633,Playground,0,2,0.894736842,46,Count of playgrounds
60634,Playground,0,4,0.789473684,40,Count of playgrounds
